key,spp,locality,lat,lon,COI
JRD024,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD025,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD026,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD027,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD028,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD029,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD030,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD031,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD032,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD033,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD034,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD035,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD036,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD037,Papilio zelicaon x machaon ,"Canada: Alberta, Fish Butte",50.91694,-114.53558,Z
JRD038,Papilio zelicaon x machaon ,"Canada: Alberta, Fish Butte",50.91694,-114.53558,H
JRD039,Papilio zelicaon x machaon ,"Canada: Alberta, Fish Butte",50.91694,-114.53558,M
JRD040,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD041,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD042,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD043,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD044,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD045,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD046,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD047,Papilio zelicaon x machaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,H
JRD048,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD049,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD050,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD051,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD052,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD053,Papilio zelicaon ,"Canada: Alberta, Marten Mountain",55.47031,-114.78509,Z
JRD059,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD060,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD061,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD062,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD063,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD064,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD065,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD066,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
